18850 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 245, 56
14390 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 276, 67
19427 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 124, 58
36239 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 97, 45
31247 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 65, 76
16804 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 86, 48
32430 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 72, 62
18036 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 158, 82
22295 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 295, 42
14850 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 147, 62
52532 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 124, 11
15138 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 154, 55
