18850 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 245, 88
14390 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 276, 76
19427 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 124, 97
36239 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 97, 73
31247 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 65, 79
16804 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 86, 88
32430 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 72, 75
18036 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 158, 82
22295 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 295, 92
14850 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 147, 77
52532 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 124, 96
15138 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 154, 74
11111 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 123, 88
